Word,third_singular,Present_Participle,Simple_Past,Past_Participle
boil,boils,boiling,boiled,boiled
book,books,booking,booked,booked
boost,boosts,boosting,boosted,boosted
borrow,borrows,borrowing,borrowed,borrowed
bother,bothers,bothering,bothered,bothered
bounce,bounces,bouncing,bounced,bounced
break,breaks,breaking,broke,broken
breathe,breathes,breathing,breathed,breathed
breed,breeds,breeding,bred,bred
bring,brings,bringing,brought,brought
broadcast,broadcasts,broadcasting,broadcast,broadcast
brush,brushes,brushing,brushed,brushed
build,builds,building,built,built
burn,burns,burning,burned,burned
burst,bursts,bursting,burst,burst
bury,buries,burying,buried,buried
buy,buys,buying,bought,bought
calculate,calculates,calculating,calculated,calculated
call,calls,calling,called,called
calm,calms,calming,calmed,calmed
campaign,campaigns,campaigning,campaigned,campaigned
can,can,-,could,
cancel,cancels,cancelling,cancelled,cancelled
capture,captures,capturing,captured,captured
care,cares,caring,cared,cared
carry,carries,carrying,carried,carried
cash,cashes,cashing,cashed,cashed
cast,casts,casting,cast,cast
catch,catches,catching,caught,caught
cater,caters,catering,catered,catered
cause,causes,causing,caused,caused
cease,ceases,ceasing,ceased,ceased
celebrate,celebrates,celebrating,celebrated,celebrated
cf.,,,,
challenge,challenges,challenging,challenged,challenged
change,changes,changing,changed,changed
charge,charges,charging,charged,charged
chase,chases,chasing,chased,chased
chat,chats,chatting,chatted,chatted
check,checks,checking,checked,checked
cheer,cheers,cheering,cheered,cheered
choose,chooses,choosing,chose,chosen
chuck,chucks,chucking,chucked,chucked
claim,claims,claiming,claimed,claimed
clarify,clarifies,clarifying,clarified,clarified
classify,classifies,classifying,classified,classified
clean,cleans,cleaning,cleaned,cleaned
clear,clears,clearing,cleared,cleared
climb,climbs,climbing,climbed,climbed
cling,clings,clinging,clung,clung
close,closes,closing,closed,closed
co-operate,co-operates,co-operating,co-operated,co-operated
co-ordinate,co-ordinates,co-ordinating,co-ordinated,co-ordinated
coach,coaches,coaching,coached,coached
coincide,coincides,coinciding,coincided,coincided
collapse,collapses,collapsing,collapsed,collapsed
collect,collects,collecting,collected,collected
colour,colours,colouring,coloured,coloured
combat,combats,combatting,combatted,combatted
combine,combines,combining,combined,combined
come,comes,coming,came,come
comfort,comforts,comforting,comforted,comforted
command,commands,commanding,commanded,commanded
commence,commences,commencing,commenced,commenced
comment,comments,commenting,commented,commented
commit,commits,committing,committed,committed
communicate,communicates,communicating,communicated,communicated
compare,compares,comparing,compared,compared
compensate,compensates,compensating,compensated,compensated
compete,competes,competing,competed,competed
complain,complains,complaining,complained,complained
complement,complements,complementing,complemented,complemented
complete,completes,completing,completed,completed
comply,complies,complying,complied,complied
comprehend,comprehends,comprehending,comprehended,comprehended
comprise,comprises,comprising,comprised,comprised
compromise,compromises,compromising,compromised,compromised
conceal,conceals,concealing,concealed,concealed
concede,concedes,conceding,conceded,conceded
conceive,conceives,conceiving,conceived,conceived
concentrate,concentrates,concentrating,concentrated,concentrated
concern,concerns,concerning,concerned,concerned
conclude,concludes,concluding,concluded,concluded
condemn,condemns,condemning,condemned,condemned
conduct,conducts,conducting,conducted,conducted
confer,confers,conferring,conferred,conferred
confess,confesses,confessing,confessed,confessed
confirm,confirms,confirming,confirmed,confirmed
conform,conforms,conforming,conformed,conformed
confront,confronts,confronting,confronted,confronted
confuse,confuses,confusing,confused,confused
congratulate,congratulates,congratulating,congratulated,congratulated
connect,connects,connecting,connected,connected
consider,considers,considering,considered,considered
consist,consists,consisting,consisted,consisted
consolidate,consolidates,consolidating,consolidated,consolidated
constitute,constitutes,constituting,constituted,constituted
construct,constructs,constructing,constructed,constructed
consult,consults,consulting,consulted,consulted
consume,consumes,consuming,consumed,consumed
contact,contacts,contacting,contacted,contacted
contain,contains,containing,contained,contained
contemplate,contemplates,contemplating,contemplated,contemplated
contend,contends,contending,contended,contended
continue,continues,continuing,continued,continued
contract,contracts,contracting,contracted,contracted
contrast,contrasts,contrasting,contrasted,contrasted
contribute,contributes,contributing,contributed,contributed
control,controls,controlling,controlled,controlled
convert,converts,converting,converted,converted
convey,conveys,conveying,conveyed,conveyed
convince,convinces,convincing,convinced,convinced
cook,cooks,cooking,cooked,cooked
cool,cools,cooling,cooled,cooled
cope,copes,coping,coped,coped
copy,copies,copying,copied,copied
correct,corrects,correcting,corrected,corrected
correspond,corresponds,corresponding,corresponded,corresponded
cost,costs,costing,cost,cost
count,counts,counting,counted,counted
counter,counters,countering,countered,countered
cover,covers,covering,covered,covered
crack,cracks,cracking,cracked,cracked
crash,crashes,crashing,crashed,crashed
create,creates,creating,created,created
creep,creeps,creeping,crept,crept
criticise,criticises,criticising,criticised,criticised
cross,crosses,crossing,crossed,crossed
cry,cries,crying,cried,cried
curb,curbs,curbing,curbed,curbed
cure,cures,curing,cured,cured
cut,cuts,cutting,cut,cut
damage,damages,damaging,damaged,damaged
damn,damns,damning,damned,damned
dance,dances,dancing,danced,danced
dare,dare,daring,dared,dared
date,dates,dating,dated,dated
deal,deals,dealing,dealt,dealt
debate,debates,debating,debated,debated
decide,decides,deciding,decided,decided
declare,declares,declaring,declared,declared
decline,declines,declining,declined,declined
decorate,decorates,decorating,decorated,decorated
decrease,decreases,decreasing,decreased,decreased
defeat,defeats,defeating,defeated,defeated
defend,defends,defending,defended,defended
define,defines,defining,defined,defined
delay,delays,delaying,delayed,delayed
delete,deletes,deleting,deleted,deleted
deliver,delivers,delivering,delivered,delivered
demand,demands,demanding,demanded,demanded
demonstrate,demonstrates,demonstrating,demonstrated,demonstrated
deny,denies,denying,denied,denied
depart,departs,departing,departed,departed
depend,depends,depending,depended,depended
derive,derives,deriving,derived,derived
descend,descends,descending,descended,descended
describe,describes,describing,described,described
deserve,deserves,deserving,deserved,deserved
design,designs,designing,designed,designed
desire,desires,desiring,desired,desired
destroy,destroys,destroying,destroyed,destroyed
detect,detects,detecting,detected,detected
deter,deters,deterring,deterred,deterred
determine,determines,determining,determined,determined
develop,develops,developing,developed,developed
devise,devises,devising,devised,devised
devote,devotes,devoting,devoted,devoted
dictate,dictates,dictating,dictated,dictated
die,dies,dying,died,died
differ,differs,differing,differed,differed
differentiate,differentiates,differentiating,differentiated,differentiated
dig,digs,digging,dug,dug
diminish,diminishes,diminishing,diminished,diminished
dip,dips,dipping,dipped,dipped
direct,directs,directing,directed,directed
disagree,disagrees,disagreeing,disagreed,disagreed
disappear,disappears,disappearing,disappeared,disappeared
discharge,discharges,discharging,discharged,discharged
disclose,discloses,disclosing,disclosed,disclosed
discourage,discourages,discouraging,discouraged,discouraged
discover,discovers,discovering,discovered,discovered
discriminate,discriminates,discriminating,discriminated,discriminated
discuss,discusses,discussing,discussed,discussed
disguise,disguises,disguising,disguised,disguised
dislike,dislikes,disliking,disliked,disliked
dismiss,dismisses,dismissing,dismissed,dismissed
display,displays,displaying,displayed,displayed
dispose,disposes,disposing,disposed,disposed
disrupt,disrupts,disrupting,disrupted,disrupted
dissolve,dissolves,dissolving,dissolved,dissolved
distinguish,distinguishes,distinguishing,distinguished,distinguished
distribute,distributes,distributing,distributed,distributed
disturb,disturbs,disturbing,disturbed,disturbed
divert,diverts,diverting,diverted,diverted
divide,divides,dividing,divided,divided
divorce,divorces,divorcing,divorced,divorced
do,does,doing,did,done
dominate,dominates,dominating,dominated,dominated
double,doubles,doubling,doubled,doubled
doubt,doubts,doubting,doubted,doubted
draft,drafts,drafting,drafted,drafted
drag,drags,dragging,dragged,dragged
drain,drains,draining,drained,drained
draw,draws,drawing,drew,drawn
dream,dreams,dreaming,dreamed,dreamed
dress,dresses,dressing,dressed,dressed
drift,drifts,drifting,drifted,drifted
drink,drinks,drinking,drank,drunk
drive,drives,driving,drove,driven
drop,drops,dropping,dropped,dropped
drown,drowns,drowning,drowned,drowned
dwell,dwells,dwelling,dwelt,dwelt
earn,earns,earning,earned,earned
ease,eases,easing,eased,eased
eat,eats,eating,ate,eaten
echo,echoes,echoing,echoed,echoed
edit,edits,editing,edited,edited
educate,educates,educating,educated,educated
effect,effects,effecting,effected,effected
elect,elects,electing,elected,elected
eliminate,eliminates,eliminating,eliminated,eliminated
embark,embarks,embarking,embarked,embarked
embrace,embraces,embracing,embraced,embraced
emerge,emerges,emerging,emerged,emerged
emphasise,,,,
emphasize,emphasizes,emphasizing,emphasized,emphasized
employ,employs,employing,employed,employed
empty,empties,emptying,emptied,emptied
enable,enables,enabling,enabled,enabled
enclose,encloses,enclosing,enclosed,enclosed
encounter,encounters,encountering,encountered,encountered
encourage,encourages,encouraging,encouraged,encouraged
end,ends,ending,ended,ended
endorse,endorses,endorsing,endorsed,endorsed
endure,endures,enduring,endured,endured
enforce,enforces,enforcing,enforced,enforced
engage,engages,engaging,engaged,engaged
enhance,enhances,enhancing,enhanced,enhanced
enjoy,enjoys,enjoying,enjoyed,enjoyed
enquire,enquires,enquiring,enquired,enquired
ensure,ensures,ensuring,ensured,ensured
entail,entails,entailing,entailed,entailed
enter,enters,entering,entered,entered
entertain,entertains,entertaining,entertained,entertained
envisage,envisages,envisaging,envisaged,envisaged
escape,escapes,escaping,escaped,escaped
establish,establishes,establishing,established,established
estimate,estimates,estimating,estimated,estimated
evaluate,evaluates,evaluating,evaluated,evaluated
evolve,evolves,evolving,evolved,evolved
examine,examines,examining,examined,examined
exceed,exceeds,exceeding,exceeded,exceeded
exchange,exchanges,exchanging,exchanged,exchanged
exclude,excludes,excluding,excluded,excluded
excuse,excuses,excusing,excused,excused
execute,executes,executing,executed,executed
exercise,exercises,exercising,exercised,exercised
exert,exerts,exerting,exerted,exerted
exhibit,exhibits,exhibiting,exhibited,exhibited
exist,exists,existing,existed,existed
expand,expands,expanding,expanded,expanded
expect,expects,expecting,expected,expected
experience,experiences,experiencing,experienced,experienced
experiment,experiments,experimenting,experimented,experimented
explain,explains,explaining,explained,explained
explode,explodes,exploding,exploded,exploded
exploit,exploits,exploiting,exploited,exploited
explore,explores,exploring,explored,explored
export,exports,exporting,exported,exported
expose,exposes,exposing,exposed,exposed
express,expresses,expressing,expressed,expressed
extend,extends,extending,extended,extended
extract,extracts,extracting,extracted,extracted
face,faces,facing,faced,faced
facilitate,facilitates,facilitating,facilitated,facilitated
fade,fades,fading,faded,faded
fail,fails,failing,failed,failed
fall,falls,falling,fell,fallen
fancy,fancies,fancying,fancied,fancied
favour,favours,favouring,favoured,favoured
fear,fears,fearing,feared,feared
feature,features,featuring,featured,featured
feel,feels,feeling,felt,felt
fetch,fetches,fetching,fetched,fetched
fight,fights,fighting,fought,fought
figure,figures,figuring,figured,figured
file,files,filing,filed,filed
fill,fills,filling,filled,filled
finance,finances,financing,financed,financed
find,finds,finding,found,found
finish,finishes,finishing,finished,finished
fire,fires,firing,fired,fired
fish,fishes,fishing,fished,fished
fit,fits,fitting,fitted,fitted
fix,fixes,fixing,fixt,fixt
flee,flees,fleeing,fled,fled
float,floats,floating,floated,floated
flourish,flourishes,flourishing,flourished,flourished
flow,flows,flowing,flowed,flowed
focus,focuses,focusing,focused,focused
fold,folds,folding,folded,folded
follow,follows,following,followed,followed
fool,fools,fooling,fooled,fooled
force,forces,forcing,forced,forced
forecast,forecasts,forecasting,forecast,forecast
forget,forgets,forgetting,forgot,forgotten
forgive,forgives,forgiving,forgave,forgiven
form,forms,forming,formed,formed
formulate,formulates,formulating,formulated,formulated
foster,fosters,fostering,fostered,fostered
free,frees,freeing,freed,freed
freeze,freezes,freezing,froze,frozen
frighten,frightens,frightening,frightened,frightened
fry,fries,frying,fried,fried
fuck,fucks,fucking,fucked,fucked
fulfil,fulfils,fulfilling,fulfilled,fulfilled
function,functions,functioning,functioned,functioned
fund,funds,funding,funded,funded
gain,gains,gaining,gained,gained
gather,gathers,gathering,gathered,gathered
generate,generates,generating,generated,generated
get,gets,getting,got,got
give,gives,giving,gave,given
go,goes,going,went,gone
govern,governs,governing,governed,governed
grab,grabs,grabbing,grabbed,grabbed
grade,grades,grading,graded,graded
grant,grants,granting,granted,granted
grasp,grasps,grasping,grasped,grasped
greet,greets,greeting,greeted,greeted
grow,grows,growing,grew,grown
guarantee,guarantees,guaranteeing,guaranteed,guaranteed
guard,guards,guarding,guarded,guarded
guess,guesses,guessing,guessed,guessed
guide,guides,guiding,guided,guided
halt,halts,halting,halted,halted
hand,hands,handing,handed,handed
handle,handles,handling,handled,handled
hang,hangs,hanging,hung,hung
happen,happens,happening,happened,happened
harm,harms,harming,harmed,harmed
hate,hates,hating,hated,hated
have,,,,
head,heads,heading,headed,headed
heal,heals,healing,hole,holen
hear,hears,hearing,heard,heard
heat,heats,heating,heated,heated
help,helps,helping,helped,helped
hesitate,hesitates,hesitating,hesitated,hesitated
hide,hides,hiding,hid,hidden
highlight,highlights,highlighting,highlighted,highlighted
hire,hires,hiring,hired,hired
hit,hits,hitting,hit,hit
hold,holds,holding,held,held
honour,honours,honouring,honoured,honoured
hope,hopes,hoping,hoped,hoped
host,hosts,hosting,hosted,hosted
house,houses,housing,housed,housed
hunt,hunts,hunting,hunted,hunted
hurry,hurries,hurrying,hurried,hurried
hurt,hurts,hurting,hurt,hurt
identify,identifies,identifying,identified,identified
ignore,ignores,ignoring,ignored,ignored
illustrate,illustrates,illustrating,illustrated,illustrated
imagine,imagines,imagining,imagined,imagined
implement,implements,implementing,implemented,implemented
imply,implies,implying,implied,implied
import,imports,importing,imported,imported
impose,imposes,imposing,imposed,imposed
impress,impresses,impressing,impressed,impressed
improve,improves,improving,improved,improved
in,ins,inning,inned,inned
include,includes,including,included,included
incorporate,incorporates,incorporating,incorporated,incorporated
increase,increases,increasing,increased,increased
indicate,indicates,indicating,indicated,indicated
induce,induces,inducing,induced,induced
indulge,indulges,indulging,indulged,indulged
influence,influences,influencing,influenced,influenced
inform,informs,informing,informed,informed
inherit,inherits,inheriting,inherited,inherited
inhibit,inhibits,inhibiting,inhibited,inhibited
initiate,initiates,initiating,initiated,initiated
insert,inserts,inserting,inserted,inserted
insist,insists,insisting,insisted,insisted
inspect,inspects,inspecting,inspected,inspected
inspire,inspires,inspiring,inspired,inspired
install,installs,installing,installed,installed
instruct,instructs,instructing,instructed,instructed
insure,insures,insuring,insured,insured
integrate,integrates,integrating,integrated,integrated
intend,intends,intending,intended,intended
interact,interacts,interacting,interacted,interacted
interest,interests,interesting,interested,interested
interfere,interferes,interfering,interfered,interfered
interpret,interprets,interpreting,interpreted,interpreted
interrupt,interrupts,interrupting,interrupted,interrupted
intervene,intervenes,intervening,intervened,intervened
interview,interviews,interviewing,interviewed,interviewed
introduce,introduces,introducing,introduced,introduced
invent,invents,inventing,invented,invented
invest,invests,investing,invested,invested
investigate,investigates,investigating,investigated,investigated
invite,invites,inviting,invited,invited
involve,involves,involving,involved,involved
isolate,isolates,isolating,isolated,isolated
issue,issues,issuing,issued,issued
join,joins,joining,joined,joined
judge,judges,judging,judged,judged
jump,jumps,jumping,jumped,jumped
justify,justifies,justifying,justified,justified
keep,keeps,keeping,kept,kept
kick,kicks,kicking,kicked,kicked
kill,kills,killing,killed,killed
kiss,kisses,kissing,kissed,kissed
knit,knits,knitting,knit,knit
knock,knocks,knocking,knocked,knocked
know,knows,knowing,knew,known
lack,lacks,lacking,lacked,lacked
land,lands,landing,landed,landed
last,lasts,lasting,lasted,lasted
laugh,laughs,laughing,laughed,laughed
launch,launches,launching,launched,launched
lead,leads,leading,leaded,leaded
lean,leans,leaning,leaned,leaned
leap,leaps,leaping,leaped,leaped
learn,learns,learning,learned,learned
leave,leaves,leaving,left,left
lend,lends,lending,lent,lent
let,lets,letting,let,let
let's,,,,
level,levels,leveling,leveled,leveled
lie,lies,lying,lay,lain
lift,lifts,lifting,lifted,lifted
light,lights,lighting,lit,lit
like,likes,liking,liked,liked
limit,limits,limiting,limited,limited
line,lines,lining,lined,lined
link,links,linking,linked,linked
list,lists,listing,listed,listed
listen,listens,listening,listened,listened
live,lives,living,lived,lived
load,loads,loading,loaded,loaded
locate,locates,locating,located,located
lock,locks,locking,locked,locked
look,looks,looking,looked,looked
lose,loses,losing,lost,lost
love,loves,loving,loved,loved
machine,machines,machining,machined,machined
maintain,maintains,maintaining,maintained,maintained
make,makes,making,made,made
manage,manages,managing,managed,managed
manipulate,manipulates,manipulating,manipulated,manipulated
manufacture,manufactures,manufacturing,manufactured,manufactured
march,marches,marching,marched,marched
mark,marks,marking,marked,marked
market,markets,marketing,marketed,marketed
marry,marries,marrying,married,married
master,masters,mastering,mastered,mastered
match,matches,matching,matched,matched
mature,matures,maturing,matured,matured
maximise,,,,
may,may,-,might,-
measure,measures,measuring,measured,measured
meet,meets,meeting,met,met
melt,melts,melting,melted,melted
mention,mentions,mentioning,mentioned,mentioned
merge,merges,merging,merged,merged
mind,minds,minding,minded,minded
minimise,minimises,minimising,minimised,minimised
minister,ministers,ministering,ministered,ministered
miss,misses,missing,missed,missed
mix,mixes,mixing,mixed,mixed
modify,modifies,modifying,modified,modified
monitor,monitors,monitoring,monitored,monitored
mount,mounts,mounting,mounted,mounted
move,moves,moving,moved,moved
multiply,multiplies,multiplying,multiplied,multiplied
murder,murders,murdering,murdered,murdered
must,,,,
name,names,naming,named,named
need,needs,needing,needed,needed
negotiate,negotiates,negotiating,negotiated,negotiated
note,notes,noting,noted,noted
notice,notices,noticing,noticed,noticed
notify,notifies,notifying,notified,notified
obey,obeys,obeying,obeyed,obeyed
object,objects,objecting,objected,objected
obscure,obscures,obscuring,obscured,obscured
observe,observes,observing,observed,observed
obtain,obtains,obtaining,obtained,obtained
occupy,occupies,occupying,occupied,occupied
occur,occurs,occurring,occurred,occurred
of,,,,
offer,offers,offering,offered,offered
offset,offsets,offsetting,offset,offset
open,opens,opening,opened,opened
operate,operates,operating,operated,operated
oppose,opposes,opposing,opposed,opposed
opt,opts,opting,opted,opted
order,orders,ordering,ordered,ordered
organise,organises,organising,organised,organised
organize,,,,
outline,outlines,outlining,outlined,outlined
overcome,overcomes,overcoming,overcame,overcome
overlook,overlooks,overlooking,overlooked,overlooked
owe,owes,owing,owed,owed
own,owns,owning,owned,owned
pack,packs,packing,packed,packed
paint,paints,painting,painted,painted
park,parks,parking,parked,parked
participate,participates,participating,participated,participated
pass,passes,passing,passed,passed
pause,pauses,pausing,paused,paused
pay,pays,paying,paid,paid
penetrate,penetrates,penetrating,penetrated,penetrated
perceive,perceives,perceiving,perceived,perceived
perform,performs,performing,performed,performed
permit,permits,permitting,permitted,permitted
persist,persists,persisting,persisted,persisted
persuade,persuades,persuading,persuaded,persuaded
phone,phones,phoning,phoned,phoned
pick,picks,picking,picked,picked
picture,pictures,picturing,pictured,pictured
pin,pins,pinning,pinned,pinned
place,places,placing,placed,placed
plan,plans,planning,planned,planned
plant,plants,planting,planted,planted
play,plays,playing,played,played
plead,pleads,pleading,pleaded,pleaded
please,pleases,pleasing,pleased,pleased
plug,plugs,plugging,plugged,plugged
point,points,pointing,pointed,pointed
pop,pops,popping,popped,popped
pose,poses,posing,posed,posed
position,positions,positioning,positioned,positioned
possess,possesses,possessing,possessed,possessed
postpone,postpones,postponing,postponed,postponed
pour,pours,pouring,poured,poured
practise,practises,practising,practised,practised
praise,praises,praising,praised,praised
pray,prays,praying,prayed,prayed
predict,predicts,predicting,predicted,predicted
prefer,prefers,preferring,preferred,preferred
prepare,prepares,preparing,prepared,prepared
present,presents,presenting,presented,presented
preserve,preserves,preserving,preserved,preserved
press,presses,pressing,pressed,pressed
presume,presumes,presuming,presumed,presumed
pretend,pretends,pretending,pretended,pretended
prevail,prevails,prevailing,prevailed,prevailed
prevent,prevents,preventing,prevented,prevented
price,prices,pricing,priced,priced
print,prints,printing,printed,printed
proceed,proceeds,proceeding,proceeded,proceeded
process,processes,processing,processed,processed
produce,produces,producing,produced,produced
profit,profits,profiting,profited,profited
progress,progresses,progressing,progressed,progressed
project,projects,projecting,projected,projected
promise,promises,promising,promised,promised
promote,promotes,promoting,promoted,promoted
propose,proposes,proposing,proposed,proposed
protect,protects,protecting,protected,protected
protest,protests,protesting,protested,protested
prove,proves,proving,proved,proved
provide,provides,providing,provided,provided
provoke,provokes,provoking,provoked,provoked
publish,publishes,publishing,published,published
pull,pulls,pulling,pulled,pulled
punish,punishes,punishing,punished,punished
purchase,purchases,purchasing,purchased,purchased
pursue,pursues,pursuing,pursued,pursued
push,pushes,pushing,pushed,pushed
put,puts,putting,put,put
qualify,qualifies,qualifying,qualified,qualified
question,questions,questioning,questioned,questioned
quit,quits,quitting,quit,quit
quote,quotes,quoting,quoted,quoted
race,races,racing,raced,raced
raise,raises,raising,raised,raised
range,ranges,ranging,ranged,ranged
reach,reaches,reaching,reached,reached
react,reacts,reacting,reacted,reacted
read,reads,reading,read,read
realise,realises,realising,realised,realised
realize,realizes,realizing,realized,realized
reassure,reassures,reassuring,reassured,reassured
rebuild,rebuilds,rebuilding,rebuilt,rebuilt
recall,recalls,recalling,recalled,recalled
receive,receives,receiving,received,received
reckon,reckons,reckoning,reckoned,reckoned
recognise,recognises,recognising,recognised,recognised
recognize,recognizes,recognizing,recognized,recognized
recommend,recommends,recommending,recommended,recommended
reconcile,reconciles,reconciling,reconciled,reconciled
reconsider,reconsiders,reconsidering,reconsidered,reconsidered
record,records,recording,recorded,recorded
recover,recovers,recovering,recovered,recovered
recruit,recruits,recruiting,recruited,recruited
reduce,reduces,reducing,reduced,reduced
refer,refers,referring,referred,referred
reflect,reflects,reflecting,reflected,reflected
reform,reforms,reforming,reformed,reformed
refuse,refuses,refusing,refused,refused
regain,regains,regaining,regained,regained
regard,regards,regarding,regarded,regarded
register,registers,registering,registered,registered
regret,regrets,regretting,regretted,regretted
regulate,regulates,regulating,regulated,regulated
reinforce,reinforces,reinforcing,reinforced,reinforced
reject,rejects,rejecting,rejected,rejected
relate,relates,relating,related,related
relax,relaxes,relaxing,relaxed,relaxed
release,releases,releasing,released,released
relieve,relieves,relieving,relieved,relieved
rely,relies,relying,relied,relied
remain,remains,remaining,remained,remained
remedy,remedies,remedying,remedied,remedied
remember,remembers,remembering,remembered,remembered
remind,reminds,reminding,reminded,reminded
remove,removes,removing,removed,removed
render,renders,rendering,rendered,rendered
renew,renews,renewing,renewed,renewed
repair,repairs,repairing,repaired,repaired
repay,repays,repaying,repaid,repaid
repeat,repeats,repeating,repeated,repeated
replace,replaces,replacing,replaced,replaced
reply,replies,replying,replied,replied
report,reports,reporting,reported,reported
represent,represents,representing,represented,represented
reproduce,reproduces,reproducing,reproduced,reproduced
request,requests,requesting,requested,requested
require,requires,requiring,required,required
rescue,rescues,rescuing,rescued,rescued
research,researches,researching,researched,researched
resemble,resembles,resembling,resembled,resembled
reserve,reserves,reserving,reserved,reserved
resign,resigns,resigning,resigned,resigned
resist,resists,resisting,resisted,resisted
resolve,resolves,resolving,resolved,resolved
resource,resources,resourcing,resourced,resourced
respect,respects,respecting,respected,respected
respond,responds,responding,responded,responded
rest,rests,resting,rested,rested
restore,restores,restoring,restored,restored
restrain,restrains,restraining,restrained,restrained
restrict,restricts,restricting,restricted,restricted
result,results,resulting,resulted,resulted
resume,resumes,resuming,resumed,resumed
retain,retains,retaining,retained,retained
retire,retires,retiring,retired,retired
retrieve,retrieves,retrieving,retrieved,retrieved
return,returns,returning,returned,returned
reveal,reveals,revealing,revealed,revealed
reverse,reverses,reversing,reversed,reversed
revert,reverts,reverting,reverted,reverted
review,reviews,reviewing,reviewed,reviewed
revise,revises,revising,revised,revised
revive,revives,reviving,revived,revived
rid,rids,ridding,rid,rid
ride,rides,riding,rode,ridden
ring,rings,ringing,ringed,ringed
rise,rises,rising,rose,risen
risk,risks,risking,risked,risked
roll,rolls,rolling,rolled,rolled
round,rounds,rounding,rounded,rounded
row,rows,rowing,rowed,rowed
rub,rubs,rubbing,rubbed,rubbed
ruin,ruins,ruining,ruined,ruined
rule,rules,ruling,ruled,ruled
run,runs,running,ran,run
rush,rushes,rushing,rushed,rushed
safeguard,safeguards,safeguarding,safeguarded,safeguarded
sail,sails,sailing,sailed,sailed
